"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"144",4,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.11133955634461
"145",5,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.95507850633555
"146",6,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.81399611694608
"147",7,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.194895188865
"148",8,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.03521510468326
"149",9,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.2972600198814
"150",10,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.728372303244
"151",1,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.40827328786023
"152",2,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.96099287410448
"153",3,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.18447658319754
"154",4,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.74113775139174
"155",5,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.81231161199157
"156",6,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.59317256716451
"157",7,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.73639632052379
"158",8,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.16013812501612
"159",9,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.91233483833171
"160",10,"1.4","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.69068012521047
"161",1,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.48458988222024
"162",2,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.80000984447741
"163",3,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.26261196025613
"164",4,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.81867765082045
"165",5,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.33426183940229
"166",6,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.79220113994536
"167",7,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.42079613916104
"168",8,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.11298120316195
"169",9,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.89543289854991
"170",10,"1.75","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.02587656846714
"171",1,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.57564797618886
"172",2,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.91339766818118
"173",3,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.67735379603656
"174",4,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.92006430266522
"175",5,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.02574914371314
"176",6,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.21034320358501
"177",7,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.02543156398065
"178",8,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",6.14048999311165
"179",9,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.7675176573301
"180",10,"2.1","1.5","0.7","0.7","0.25","0.01","0.01","0","0",5.93942915520231
"181",1,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.75747709192701
"182",2,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.16348218186019
"183",3,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.62501754879731
"184",4,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.63930337215578
"185",5,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.37561282078672
"186",6,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.61141697315999
"187",7,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",6.23272885031818
"188",8,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.90781557431735
"189",9,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.07581029707393
"190",10,"1.4","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.44855466269198
"191",1,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.9454405559803
"192",2,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.23259561960651
"193",3,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.03229827630251
"194",4,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.03220604106571
"195",5,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.15956150155959
"196",6,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.26123535441813
"197",7,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.25879482622388
"198",8,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.05781979312324
"199",9,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.02192428701796
"200",10,"1.75","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.92523870199453
"201",1,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.68502033177486
"202",2,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.83387557956813
"203",3,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.98682260641111
"204",4,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.98094187952728
"205",5,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.01628716118355
"206",6,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.09728865859153
"207",7,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.94800868452651
"208",8,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",4.80004259293329
"209",9,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.4329506239944
"210",10,"2.1","1.75","0.7","0.7","0.25","0.01","0.01","0","0",5.13712051953958
"211",1,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.21682243808759
"212",2,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.09737321961419
"213",3,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.72297688275643
"214",4,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.53396738983892
"215",5,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.7331747988198
"216",6,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.98737062676207
"217",7,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.64176280344407
"218",8,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.55368418199873
"219",9,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.75809730022947
"220",10,"1.4","2","0.7","0.7","0.25","0.01","0.01","0","0",4.49573216395595
"221",1,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.71901853598422
"222",2,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.5876442237983
"223",3,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.5802154396377
"224",4,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.3629878911436
"225",5,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.5092874111826
"226",6,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.41457918219791
"227",7,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.6344207421277
"228",8,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.45776920739111
"229",9,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.5094697123137
"230",10,"1.75","2","0.7","0.7","0.25","0.01","0.01","0","0",4.38280914385219
"231",1,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.29785766938098
"232",2,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.24862078335554
"233",3,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.65915099854077
"234",4,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.38853951733835
"235",5,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.42979433158976
"236",6,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.25482631130712
"237",7,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.5018047011869
"238",8,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.58107476903359
"239",9,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.52226594419857
"240",10,"2.1","2","0.7","0.7","0.25","0.01","0.01","0","0",4.14458189130922
"241",1,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.72287138490714
"242",2,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.50813304825613
"243",3,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.95068921295644
"244",4,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.55297954529206
"245",5,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.89798257499129
"246",6,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.4922947435277
"247",7,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.97292779832801
"248",8,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.94530907223003
"249",9,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.384322176132
"250",10,"1.4","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.42906431838723
"251",1,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.02938093272597
"252",2,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.8480754976223
"253",3,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.87182620095956
"254",4,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.23662041778448
"255",5,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.05190985592346
"256",6,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.31087421574526
"257",7,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.03352340893425
"258",8,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.44867705494319
"259",9,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.84354978360475
"260",10,"1.75","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.02233034068703
"261",1,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.62757209226075
"262",2,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.51824747270983
"263",3,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.43856711492694
"264",4,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.4995144184667
"265",5,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.56845860308041
"266",6,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.95923744718837
"267",7,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.84823063786854
"268",8,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",5.13018087768294
"269",9,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.6076223268119
"270",10,"2.1","1.25","0.7","0.7","0.5","0.01","0.01","0","0",4.83502782103236
"271",1,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.29400123352265
"272",2,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.4534203255945
"273",3,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.17769138611751
"274",4,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.2086939907714
"275",5,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.59061497805387
"276",6,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.98685031639405
"277",7,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.97448049016052
"278",8,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.12071768239995
"279",9,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.19147294344772
"280",10,"1.4","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.12870140506166
"281",1,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.23622405474006
"282",2,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.30237982882719
"283",3,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.97148277324848
"284",4,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.73150337099336
"285",5,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.99931945055884
"286",6,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.76323733022146
"287",7,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.47034029787065
"288",8,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.19363743113872
"289",9,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.10840098697544
"290",10,"1.75","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.88282917784801
"291",1,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.2192015112808
"292",2,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.87174855546141
"293",3,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.97107547098508
"294",4,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.25253986789081
"295",5,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.30070263691221
"296",6,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.74868879140553
"297",7,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.81614887668282
"298",8,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.17187501454265
"299",9,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",3.68979536045838
"300",10,"2.1","1.5","0.7","0.7","0.5","0.01","0.01","0","0",4.05861963211129
"301",1,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",4.21360362101159
"302",2,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.36569237746229
"303",3,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.59502902929954
"304",4,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.35296996665533
"305",5,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.59798636516658
"306",6,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.399921483358
"307",7,"1.4","1.75","0.7","0.7","0.5","0.01","0.01","0","0",3.27695650083076
