"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"215",15,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.15379535113449
"216",16,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.03819514709369
"217",17,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.59672675780947
"218",18,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.91352189341679
"219",19,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.06883924677656
"220",20,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.92522279810252
"221",21,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.60134769839421
"222",22,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.32183812857981
"223",23,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.22719619140021
"224",24,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.74940287325077
"225",25,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.24212887362562
"226",26,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.99217367339027
"227",27,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.78811041781788
"228",28,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.80514152361385
"229",29,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.77018462917402
"230",30,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.00365826560206
"231",31,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.787984399348
"232",32,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.42213198458532
"233",33,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.83296027669558
"234",34,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.35635702631111
"235",35,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.71431651858105
"236",36,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.87206978139197
"237",37,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.79744665916409
"238",38,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.03902244666591
"239",39,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.78055578467099
"240",40,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.36776594808803
"241",41,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.5834343831387
"242",42,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.74044327479336
"243",43,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.43972649860923
"244",44,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.57434842112132
"245",45,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.66836119638769
"246",46,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.86832637111022
