"","betap","nu","vaxrate","beta","emmean","SE","df","lower.CL","upper.CL"
"67","1.75","0.25","0.25","1.75",3.56554287704242,0.0862153473467577,1296,3.34990124968336,3.78118450440148
"68","2","0.25","0.25","1.75",3.30418120968164,0.0862153473467576,1296,3.08853958232258,3.5198228370407
"69","1.25","0.5","0.25","1.75",3.56290498648304,0.0862153473467578,1296,3.34726335912398,3.7785466138421
"70","1.5","0.5","0.25","1.75",3.19989759131966,0.0862153473467575,1296,2.9842559639606,3.41553921867871
"71","1.75","0.5","0.25","1.75",3.00805074969381,0.0862153473467579,1296,2.79240912233475,3.22369237705287
"72","2","0.5","0.25","1.75",2.82102968357263,0.0862153473467577,1296,2.60538805621357,3.03667131093169
"73","1.25","0","0.5","1.75",4.869676770893,0.0862153473467578,1296,4.65403514353394,5.08531839825206
"74","1.5","0","0.5","1.75",4.06593547024219,0.0862153473467577,1296,3.85029384288313,4.28157709760125
"75","1.75","0","0.5","1.75",3.51597827509,0.0862153473467577,1296,3.30033664773094,3.73161990244906
"76","2","0","0.5","1.75",3.22063589577221,0.0862153473467576,1296,3.00499426841315,3.43627752313127
"77","1.25","0.25","0.5","1.75",3.49636544194885,0.0862153473467585,1296,3.28072381458979,3.71200706930791
"78","1.5","0.25","0.5","1.75",3.2067675881683,0.0862153473467579,1296,2.99112596080924,3.42240921552736
"79","1.75","0.25","0.5","1.75",2.85567249118287,0.0862153473467576,1296,2.64003086382381,3.07131411854193
"80","2","0.25","0.5","1.75",2.72678957513568,0.0862153473467579,1296,2.51114794777662,2.94243120249474
"81","1.25","0.5","0.5","1.75",2.8342172508217,0.0862153473467576,1296,2.61857562346264,3.04985887818076
"82","1.5","0.5","0.5","1.75",2.66140989895987,0.0862153473467576,1296,2.44576827160081,2.87705152631893
"83","1.75","0.5","0.5","1.75",2.46270839918365,0.0862153473467578,1296,2.24706677182459,2.67835002654271
"84","2","0.5","0.5","1.75",2.3753303472251,0.0862153473467576,1296,2.15968871986604,2.59097197458416
"85","1.25","0","0.75","1.75",2.68588104839519,0.0862153473467581,1296,2.47023942103612,2.90152267575425
"86","1.5","0","0.75","1.75",2.44647621555695,0.0862153473467579,1296,2.23083458819789,2.66211784291601
"87","1.75","0","0.75","1.75",2.23962150450465,0.0862153473467579,1296,2.02397987714559,2.45526313186371
"88","2","0","0.75","1.75",2.11342005966343,0.0862153473467581,1296,1.89777843230437,2.32906168702249
"89","1.25","0.25","0.75","1.75",2.36575950671253,0.0862153473467577,1296,2.15011787935347,2.58140113407159
"90","1.5","0.25","0.75","1.75",2.14099289699115,0.0862153473467578,1296,1.92535126963209,2.35663452435021
"91","1.75","0.25","0.75","1.75",2.01821681658914,0.0862153473467575,1296,1.80257518923008,2.2338584439482
"92","2","0.25","0.75","1.75",1.85353507487117,0.0862153473467574,1296,1.63789344751211,2.06917670223023
"93","1.25","0.5","0.75","1.75",2.16091116091785,0.0862153473467577,1296,1.94526953355879,2.37655278827691
"94","1.5","0.5","0.75","1.75",2.01880783718783,0.0862153473467577,1296,1.80316620982877,2.23444946454689
"95","1.75","0.5","0.75","1.75",1.83229860810242,0.0862153473467577,1296,1.61665698074336,2.04794023546148
"96","2","0.5","0.75","1.75",1.77713590730301,0.086215347346758,1296,1.56149427994395,1.99277753466207
"97","1.25","0","0","2.1",8.89941800124373,0.0862153473467574,1296,8.68377637388467,9.11505962860279
"98","1.5","0","0","2.1",7.5971434220992,0.0862153473467578,1296,7.38150179474014,7.81278504945826
"99","1.75","0","0","2.1",6.68279215425703,0.0862153473467574,1296,6.46715052689797,6.89843378161609
"100","2","0","0","2.1",5.89271012394272,0.0862153473467578,1296,5.67706849658366,6.10835175130179
"101","1.25","0.25","0","2.1",5.33577542343157,0.0862153473467578,1296,5.12013379607251,5.55141705079063
"102","1.5","0.25","0","2.1",4.75614200980146,0.0862153473467577,1296,4.5405003824424,4.97178363716052
"103","1.75","0.25","0","2.1",4.27586584038718,0.0862153473467578,1296,4.06022421302812,4.49150746774624
"104","2","0.25","0","2.1",3.95309803033633,0.0862153473467587,1296,3.73745640297726,4.16873965769539
"105","1.25","0.5","0","2.1",4.06806207819296,0.0862153473467583,1296,3.8524204508339,4.28370370555203
"106","1.5","0.5","0","2.1",3.69611134449521,0.0862153473467577,1296,3.48046971713615,3.91175297185427
"107","1.75","0.5","0","2.1",3.55099464099532,0.0862153473467573,1296,3.33535301363626,3.76663626835438
"108","2","0.5","0","2.1",3.29016750852779,0.0862153473467577,1296,3.07452588116873,3.50580913588685
"109","1.25","0","0.25","2.1",7.36681295633958,0.0862153473467573,1296,7.15117132898052,7.58245458369864
"110","1.5","0","0.25","2.1",5.91954244599946,0.0862153473467573,1296,5.7039008186404,6.13518407335851
"111","1.75","0","0.25","2.1",4.99183586380502,0.086215347346758,1296,4.77619423644596,5.20747749116408
"112","2","0","0.25","2.1",4.40285169172408,0.0862153473467567,1296,4.18721006436502,4.61849331908313
"113","1.25","0.25","0.25","2.1",4.39560341436264,0.0862153473467575,1296,4.17996178700358,4.6112450417217
"114","1.5","0.25","0.25","2.1",3.94651414514053,0.0862153473467577,1296,3.73087251778147,4.16215577249959
"115","1.75","0.25","0.25","2.1",3.59402036141333,0.0862153473467577,1296,3.37837873405427,3.80966198877239
"116","2","0.25","0.25","2.1",3.2881434196833,0.0862153473467573,1296,3.07250179232424,3.50378504704236
"117","1.25","0.5","0.25","2.1",3.51842473757671,0.0862153473467585,1296,3.30278311021765,3.73406636493578
"118","1.5","0.5","0.25","2.1",3.13565375849765,0.0862153473467577,1296,2.92001213113859,3.35129538585671
"119","1.75","0.5","0.25","2.1",3.04939776938137,0.0862153473467577,1296,2.83375614202231,3.26503939674043
"120","2","0.5","0.25","2.1",2.85437725362391,0.0862153473467571,1296,2.63873562626485,3.07001888098297
"121","1.25","0","0.5","2.1",4.70326588120285,0.0862153473467576,1296,4.48762425384379,4.91890750856191
"122","1.5","0","0.5","2.1",4.01003957177306,0.0862153473467575,1296,3.794397944414,4.22568119913212
"123","1.75","0","0.5","2.1",3.4926822158948,0.0862153473467578,1296,3.27704058853574,3.70832384325387
"124","2","0","0.5","2.1",3.18460207586836,0.0862153473467571,1296,2.9689604485093,3.40024370322742
"125","1.25","0.25","0.5","2.1",3.42654894179539,0.0862153473467577,1296,3.21090731443633,3.64219056915445
"126","1.5","0.25","0.5","2.1",3.04852644097832,0.0862153473467577,1296,2.83288481361926,3.26416806833738
"127","1.75","0.25","0.5","2.1",2.82652406143703,0.0862153473467578,1296,2.61088243407797,3.04216568879609
"128","2","0.25","0.5","2.1",2.66093887205294,0.0862153473467576,1296,2.44529724469388,2.876580499412
"129","1.25","0.5","0.5","2.1",2.83710636362515,0.0862153473467578,1296,2.62146473626609,3.05274799098421
"130","1.5","0.5","0.5","2.1",2.60238385096709,0.0862153473467572,1296,2.38674222360803,2.81802547832615
"131","1.75","0.5","0.5","2.1",2.44767703513494,0.0862153473467577,1296,2.23203540777588,2.663318662494
"132","2","0.5","0.5","2.1",2.38707896213891,0.0862153473467564,1296,2.17143733477986,2.60272058949797
"133","1.25","0","0.75","2.1",2.68511794821071,0.0862153473467571,1296,2.46947632085165,2.90075957556977
"134","1.5","0","0.75","2.1",2.44288335555165,0.0862153473467577,1296,2.22724172819259,2.65852498291071
"135","1.75","0","0.75","2.1",2.28843092597051,0.0862153473467572,1296,2.07278929861145,2.50407255332957
"136","2","0","0.75","2.1",2.14071754729694,0.0862153473467575,1296,1.92507591993788,2.356359174656
"137","1.25","0.25","0.75","2.1",2.32707983327971,0.0862153473467582,1296,2.11143820592065,2.54272146063877
"138","1.5","0.25","0.75","2.1",2.18159985396589,0.0862153473467574,1296,1.96595822660683,2.39724148132495
"139","1.75","0.25","0.75","2.1",2.03962892595994,0.0862153473467577,1296,1.82398729860088,2.255270553319
"140","2","0.25","0.75","2.1",2.28101587260722,0.086215347346758,1296,2.06537424524816,2.49665749996628
"141","1.25","0.5","0.75","2.1",2.13715214311908,0.0862153473467561,1296,1.92151051576002,2.35279377047813
"142","1.5","0.5","0.75","2.1",1.94825094402861,0.0862153473467574,1296,1.73260931666955,2.16389257138767
"143","1.75","0.5","0.75","2.1",1.88634918016443,0.0862153473467566,1296,1.67070755280537,2.10199080752348
"144","2","0.5","0.75","2.1",1.75669161670396,0.0862153473467534,1296,1.54104998934491,1.97233324406301
