"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"203","0.25","0.5","1.75",".","quadratic",0.160714937733361,0.172430694693515,1296,-0.482746868543719,0.804176744010442
"204","0.25","0.5","1.75",".","cubic",0.283709424143133,0.385566754742213,1296,-1.15511491561722,1.72253376390349
"205","0.5","0.5","1.75",".","linear",-1.57536221056601,0.385566754742212,1296,-3.01418655032636,-0.136537870805655
"206","0.5","0.5","1.75",".","quadratic",0.0854292999032816,0.172430694693515,1296,-0.558032506373798,0.728891106180361
"207","0.5","0.5","1.75",".","cubic",0.137217595732079,0.385566754742213,1296,-1.30160674402827,1.57604193549243
"208","0","0.75","1.75",".","linear",-1.92423767724757,0.385566754742216,1296,-3.36306201700793,-0.485413337487201
"209","0","0.75","1.75",".","quadratic",0.113203387997017,0.172430694693516,1296,-0.530258418280066,0.756665194274101
"210","0","0.75","1.75",".","cubic",0.0481031444251678,0.385566754742214,1296,-1.39072119533519,1.48692748418553
"211","0.25","0.75","1.75",".","linear",-1.65944937592609,0.385566754742213,1296,-3.09827371568644,-0.220625036165735
"212","0.25","0.75","1.75",".","quadratic",0.0600848680034091,0.172430694693515,1296,-0.583376938273671,0.703546674280489
"213","0.25","0.75","1.75",".","cubic",-0.143896190635342,0.385566754742213,1296,-1.5827205303957,1.29492814912501
"214","0.5","0.75","1.75",".","linear",-1.33783498992992,0.385566754742213,1296,-2.77665932969028,0.100989349830432
"215","0.5","0.75","1.75",".","quadratic",0.0869406229306081,0.172430694693516,1296,-0.556521183346473,0.73040242920769
"216","0.5","0.75","1.75",".","cubic",0.175752433641408,0.385566754742212,1296,-1.26307190611895,1.61457677340176
"217","0","0","2.1",".","linear",-9.93447489974519,0.385566754742213,1296,-11.3732992395056,-8.49565055998484
"218","0","0","2.1",".","quadratic",0.512192548830225,0.172430694693514,1296,-0.131269257446852,1.1556543551073
"219","0","0","2.1",".","cubic",-0.263654073774482,0.385566754742212,1296,-1.70247841353483,1.17517026598587
"220","0.25","0","2.1",".","linear",-4.62830834870003,0.385566754742214,1296,-6.06713268846038,-3.18948400893967
"221","0.25","0","2.1",".","quadratic",0.256865603579258,0.172430694693516,1296,-0.386596202697824,0.900327409856341
"222","0.25","0","2.1",".","cubic",0.0581511151476126,0.385566754742213,1296,-1.38067322461274,1.49697545490797
"223","0.5","0","2.1",".","linear",-2.47880041249541,0.385566754742216,1296,-3.91762475225578,-1.03997607273504
"224","0.5","0","2.1",".","quadratic",0.111123601230226,0.172430694693515,1296,-0.532338205046852,0.754585407507304
"225","0.5","0","2.1",".","cubic",-0.342544459165505,0.385566754742211,1296,-1.78136879892585,1.09627988059484
"226","0","0.25","2.1",".","linear",-9.81959037604094,0.385566754742209,1296,-11.2584147158013,-8.3807660362806
"227","0","0.25","2.1",".","quadratic",0.85828633825918,0.172430694693515,1296,0.214824531982099,1.50174814453626
"228","0","0.25","2.1",".","cubic",-0.180841518032198,0.385566754742211,1296,-1.61966585779254,1.25798282172815
"229","0.25","0.25","2.1",".","linear",-3.67487376776523,0.385566754742211,1296,-5.11369810752558,-2.23604942800488
"230","0.25","0.25","2.1",".","quadratic",0.143212327492075,0.172430694693515,1296,-0.500249478785005,0.786674133769154
"231","0.25","0.25","2.1",".","cubic",-0.0499786434977257,0.385566754742211,1296,-1.48880298325807,1.38884569626262
"232","0.5","0.25","2.1",".","linear",-2.07839844097469,0.385566754742216,1296,-3.51722278073505,-0.639574101214322
"233","0.5","0.25","2.1",".","quadratic",0.1877504633216,0.172430694693515,1296,-0.455711342955479,0.831212269598679
"234","0.5","0.25","2.1",".","cubic",-0.405279516603973,0.385566754742213,1296,-1.84410385636433,1.03354482315638
"235","0","0.5","2.1",".","linear",-5.07334877188172,0.385566754742211,1296,-6.51217311164206,-3.63452443212137
"236","0","0.5","2.1",".","quadratic",0.385146169403344,0.172430694693515,1296,-0.258315636873736,1.02860797568042
"237","0","0.5","2.1",".","cubic",0.0334082623002843,0.385566754742213,1296,-1.40541607746007,1.47223260206064
