"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"90","betap1.75 - betap2","0.5","0","1.75",0.210389854511372,0.121926913502492,1296,-0.111779378283676,0.53255908730642
"91","betap1.25 - betap1.5","0","0.25","1.75",1.58475793520626,0.121926913502492,1296,1.26258870241121,1.90692716800131
"92","betap1.25 - betap1.75","0","0.25","1.75",2.48679035212319,0.121926913502492,1296,2.16462111932815,2.80895958491824
"93","betap1.25 - betap2","0","0.25","1.75",3.16368169888953,0.121926913502492,1296,2.84151246609448,3.48585093168458
"94","betap1.5 - betap1.75","0","0.25","1.75",0.902032416916937,0.121926913502492,1296,0.579863184121889,1.22420164971198
"95","betap1.5 - betap2","0","0.25","1.75",1.57892376368327,0.121926913502492,1296,1.25675453088823,1.90109299647832
"96","betap1.75 - betap2","0","0.25","1.75",0.676891346766337,0.121926913502492,1296,0.35472211397129,0.999060579561385
"97","betap1.25 - betap1.5","0.25","0.25","1.75",0.605642726920559,0.121926913502492,1296,0.283473494125511,0.927811959715607
"98","betap1.25 - betap1.75","0.25","0.25","1.75",0.940271679188021,0.121926913502492,1296,0.618102446392974,1.26244091198307
"99","betap1.25 - betap2","0.25","0.25","1.75",1.2016333465488,0.121926913502492,1296,0.879464113753755,1.52380257934385
"100","betap1.5 - betap1.75","0.25","0.25","1.75",0.334628952267462,0.121926913502492,1296,0.0124597194724144,0.656798185062509
"101","betap1.5 - betap2","0.25","0.25","1.75",0.595990619628243,0.121926913502492,1296,0.273821386833196,0.918159852423291
"102","betap1.75 - betap2","0.25","0.25","1.75",0.261361667360782,0.121926913502492,1296,-0.0608075654342657,0.583530900155829
"103","betap1.25 - betap1.5","0.5","0.25","1.75",0.363007395163388,0.121926913502492,1296,0.0408381623683395,0.685176627958436
"104","betap1.25 - betap1.75","0.5","0.25","1.75",0.554854236789229,0.121926913502492,1296,0.23268500399418,0.877023469584277
"105","betap1.25 - betap2","0.5","0.25","1.75",0.74187530291041,0.121926913502492,1296,0.419706070115362,1.06404453570546
"106","betap1.5 - betap1.75","0.5","0.25","1.75",0.191846841625841,0.121926913502492,1296,-0.130322391169207,0.514016074420889
"107","betap1.5 - betap2","0.5","0.25","1.75",0.378867907747023,0.121926913502492,1296,0.0566986749519756,0.70103714054207
"108","betap1.75 - betap2","0.5","0.25","1.75",0.187021066121182,0.121926913502492,1296,-0.135148166673866,0.509190298916229
"109","betap1.25 - betap1.5","0","0.5","1.75",0.803741300650819,0.121926913502492,1296,0.481572067855771,1.12591053344587
"110","betap1.25 - betap1.75","0","0.5","1.75",1.353698495803,0.121926913502492,1296,1.03152926300796,1.67586772859805
"111","betap1.25 - betap2","0","0.5","1.75",1.64904087512079,0.121926913502492,1296,1.32687164232574,1.97121010791584
"112","betap1.5 - betap1.75","0","0.5","1.75",0.549957195152186,0.121926913502492,1296,0.227787962357139,0.872126427947233
"113","betap1.5 - betap2","0","0.5","1.75",0.845299574469974,0.121926913502492,1296,0.523130341674926,1.16746880726502
"114","betap1.75 - betap2","0","0.5","1.75",0.295342379317788,0.121926913502492,1296,-0.0268268534772598,0.617511612112836
"115","betap1.25 - betap1.5","0.25","0.5","1.75",0.289597853780549,0.121926913502492,1296,-0.0325713790144994,0.611767086575597
"116","betap1.25 - betap1.75","0.25","0.5","1.75",0.640692950765984,0.121926913502492,1296,0.318523717970936,0.962862183561031
"117","betap1.25 - betap2","0.25","0.5","1.75",0.769575866813171,0.121926913502492,1296,0.447406634018123,1.09174509960822
"118","betap1.5 - betap1.75","0.25","0.5","1.75",0.351095096985435,0.121926913502491,1296,0.0289258641903882,0.673264329780481
"119","betap1.5 - betap2","0.25","0.5","1.75",0.479978013032622,0.121926913502492,1296,0.157808780237575,0.80214724582767
"120","betap1.75 - betap2","0.25","0.5","1.75",0.128882916047187,0.121926913502492,1296,-0.19328631674786,0.451052148842235
"121","betap1.25 - betap1.5","0.5","0.5","1.75",0.172807351861826,0.121926913502492,1296,-0.149361880933222,0.494976584656873
"122","betap1.25 - betap1.75","0.5","0.5","1.75",0.37150885163805,0.121926913502492,1296,0.0493396188430026,0.693678084433098
"123","betap1.25 - betap2","0.5","0.5","1.75",0.458886903596594,0.121926913502492,1296,0.136717670801547,0.781056136391642
"124","betap1.5 - betap1.75","0.5","0.5","1.75",0.198701499776224,0.121926913502492,1296,-0.123467733018823,0.520870732571272
"125","betap1.5 - betap2","0.5","0.5","1.75",0.286079551734769,0.121926913502492,1296,-0.0360896810602783,0.608248784529815
"126","betap1.75 - betap2","0.5","0.5","1.75",0.0873780519585442,0.121926913502492,1296,-0.234791180836503,0.409547284753592
"127","betap1.25 - betap1.5","0","0.75","1.75",0.239404832838232,0.121926913502493,1296,-0.082764399956818,0.561574065633282
"128","betap1.25 - betap1.75","0","0.75","1.75",0.446259543890539,0.121926913502493,1296,0.124090311095489,0.768428776685588
"129","betap1.25 - betap2","0","0.75","1.75",0.572460988731753,0.121926913502493,1296,0.250291755936702,0.894630221526804
"130","betap1.5 - betap1.75","0","0.75","1.75",0.206854711052307,0.121926913502492,1296,-0.115314521742742,0.529023943847356
"131","betap1.5 - betap2","0","0.75","1.75",0.333056155893521,0.121926913502492,1296,0.0108869230984725,0.65522538868857
"132","betap1.75 - betap2","0","0.75","1.75",0.126201444841214,0.121926913502492,1296,-0.195967787953835,0.448370677636264
"133","betap1.25 - betap1.5","0.25","0.75","1.75",0.224766609721382,0.121926913502492,1296,-0.097402623073666,0.54693584251643
"134","betap1.25 - betap1.75","0.25","0.75","1.75",0.347542690123388,0.121926913502492,1296,0.025373457328341,0.669711922918435
"135","betap1.25 - betap2","0.25","0.75","1.75",0.512224431841361,0.121926913502492,1296,0.190055199046313,0.834393664636409
"136","betap1.5 - betap1.75","0.25","0.75","1.75",0.122776080402006,0.121926913502492,1296,-0.199393152393042,0.444945313197054
"137","betap1.5 - betap2","0.25","0.75","1.75",0.287457822119979,0.121926913502492,1296,-0.0347114106750696,0.609627054915028
"138","betap1.75 - betap2","0.25","0.75","1.75",0.164681741717973,0.121926913502492,1296,-0.157487491077074,0.486850974513019
"139","betap1.25 - betap1.5","0.5","0.75","1.75",0.142103323730015,0.121926913502492,1296,-0.180065909065033,0.464272556525062
"140","betap1.25 - betap1.75","0.5","0.75","1.75",0.328612552815429,0.121926913502492,1296,0.00644332002038223,0.650781785610477
"141","betap1.25 - betap2","0.5","0.75","1.75",0.383775253614836,0.121926913502492,1296,0.0616060208197878,0.705944486409884
"142","betap1.5 - betap1.75","0.5","0.75","1.75",0.186509229085415,0.121926913502492,1296,-0.135660003709633,0.508678461880462
"143","betap1.5 - betap2","0.5","0.75","1.75",0.241671929884821,0.121926913502492,1296,-0.0804973029102272,0.56384116267987
"144","betap1.75 - betap2","0.5","0.75","1.75",0.0551627007994067,0.121926913502492,1296,-0.267006531995642,0.377331933594456
"145","betap1.25 - betap1.5","0","0","2.1",1.30227457914453,0.121926913502492,1296,0.980105346349482,1.62444381193958
"146","betap1.25 - betap1.75","0","0","2.1",2.2166258469867,0.121926913502491,1296,1.89445661419166,2.53879507978175
"147","betap1.25 - betap2","0","0","2.1",3.00670787730101,0.121926913502492,1296,2.68453864450596,3.32887711009605
"148","betap1.5 - betap1.75","0","0","2.1",0.914351267842175,0.121926913502492,1296,0.592182035047127,1.23652050063722
"149","betap1.5 - betap2","0","0","2.1",1.70443329815648,0.121926913502492,1296,1.38226406536143,2.02660253095152
"150","betap1.75 - betap2","0","0","2.1",0.790082030314303,0.121926913502491,1296,0.467912797519257,1.11225126310935
"151","betap1.25 - betap1.5","0.25","0","2.1",0.579633413630109,0.121926913502492,1296,0.257464180835061,0.901802646425157
"152","betap1.25 - betap1.75","0.25","0","2.1",1.0599095830444,0.121926913502492,1296,0.737740350249347,1.38207881583944
"153","betap1.25 - betap2","0.25","0","2.1",1.38267739309525,0.121926913502492,1296,1.0605081603002,1.7048466258903
"154","betap1.5 - betap1.75","0.25","0","2.1",0.480276169414286,0.121926913502492,1296,0.158106936619238,0.802445402209335
"155","betap1.5 - betap2","0.25","0","2.1",0.803043979465137,0.121926913502492,1296,0.480874746670089,1.12521321226019
"156","betap1.75 - betap2","0.25","0","2.1",0.322767810050851,0.121926913502492,1296,0.000598577255802424,0.6449370428459
"157","betap1.25 - betap1.5","0.5","0","2.1",0.371950733697755,0.121926913502492,1296,0.0497815009027064,0.694119966492803
"158","betap1.25 - betap1.75","0.5","0","2.1",0.517067437197644,0.121926913502492,1296,0.194898204402597,0.839236669992692
"159","betap1.25 - betap2","0.5","0","2.1",0.777894569665173,0.121926913502493,1296,0.455725336870122,1.10006380246022
"160","betap1.5 - betap1.75","0.5","0","2.1",0.145116703499889,0.121926913502491,1296,-0.177052529295157,0.467285936294936
"161","betap1.5 - betap2","0.5","0","2.1",0.405943835967418,0.121926913502492,1296,0.0837746031723698,0.728113068762467
"162","betap1.75 - betap2","0.5","0","2.1",0.260827132467529,0.121926913502491,1296,-0.0613421003275167,0.582996365262574
"163","betap1.25 - betap1.5","0","0.25","2.1",1.44727051034012,0.121926913502491,1296,1.12510127754508,1.76943974313517
"164","betap1.25 - betap1.75","0","0.25","2.1",2.37497709253456,0.121926913502492,1296,2.05280785973951,2.6971463253296
"165","betap1.25 - betap2","0","0.25","2.1",2.9639612646155,0.121926913502491,1296,2.64179203182046,3.28613049741055
"166","betap1.5 - betap1.75","0","0.25","2.1",0.927706582194434,0.121926913502491,1296,0.605537349399388,1.24987581498948
"167","betap1.5 - betap2","0","0.25","2.1",1.51669075427538,0.121926913502491,1296,1.19452152148033,1.83885998707042
"168","betap1.75 - betap2","0","0.25","2.1",0.588984172080943,0.121926913502492,1296,0.266814939285896,0.911153404875991
"169","betap1.25 - betap1.5","0.25","0.25","2.1",0.449089269222106,0.121926913502492,1296,0.126920036427059,0.771258502017153
"170","betap1.25 - betap1.75","0.25","0.25","2.1",0.801583052949311,0.121926913502492,1296,0.479413820154264,1.12375228574436
"171","betap1.25 - betap2","0.25","0.25","2.1",1.10745999467934,0.121926913502491,1296,0.785290761884296,1.42962922747439
"172","betap1.5 - betap1.75","0.25","0.25","2.1",0.352493783727206,0.121926913502492,1296,0.030324550932159,0.674663016522252
"173","betap1.5 - betap2","0.25","0.25","2.1",0.658370725457237,0.121926913502491,1296,0.33620149266219,0.980539958252283
"174","betap1.75 - betap2","0.25","0.25","2.1",0.305876941730031,0.121926913502491,1296,-0.0162922910650153,0.628046174525078
"175","betap1.25 - betap1.5","0.5","0.25","2.1",0.382770979079063,0.121926913502492,1296,0.0606017462840144,0.704940211874112
"176","betap1.25 - betap1.75","0.5","0.25","2.1",0.46902696819534,0.121926913502493,1296,0.146857735400291,0.79119620099039
"177","betap1.25 - betap2","0.5","0.25","2.1",0.664047483952804,0.121926913502493,1296,0.341878251157753,0.986216716747855
"178","betap1.5 - betap1.75","0.5","0.25","2.1",0.086255989116277,0.121926913502492,1296,-0.23591324367877,0.408425221911324
"179","betap1.5 - betap2","0.5","0.25","2.1",0.28127650487374,0.121926913502491,1296,-0.0408927279213062,0.603445737668787
"180","betap1.75 - betap2","0.5","0.25","2.1",0.195020515757463,0.121926913502492,1296,-0.127148717037584,0.517189748552511
"181","betap1.25 - betap1.5","0","0.5","2.1",0.693226309429787,0.121926913502492,1296,0.37105707663474,1.01539554222483
"182","betap1.25 - betap1.75","0","0.5","2.1",1.21058366530804,0.121926913502492,1296,0.888414432512996,1.53275289810309
"183","betap1.25 - betap2","0","0.5","2.1",1.51866380533449,0.121926913502491,1296,1.19649457253944,1.84083303812953
"184","betap1.5 - betap1.75","0","0.5","2.1",0.517357355878257,0.121926913502492,1296,0.195188123083209,0.839526588673304
"185","betap1.5 - betap2","0","0.5","2.1",0.825437495904699,0.121926913502491,1296,0.503268263109653,1.14760672869975
"186","betap1.75 - betap2","0","0.5","2.1",0.308080140026442,0.121926913502492,1296,-0.0140890927686058,0.630249372821491
"187","betap1.25 - betap1.5","0.25","0.5","2.1",0.37802250081707,0.121926913502492,1296,0.0558532680220224,0.700191733612118
"188","betap1.25 - betap1.75","0.25","0.5","2.1",0.600024880358364,0.121926913502492,1296,0.277855647563316,0.922194113153411
"189","betap1.25 - betap2","0.25","0.5","2.1",0.765610069742453,0.121926913502492,1296,0.443440836947406,1.0877793025375
"190","betap1.5 - betap1.75","0.25","0.5","2.1",0.222002379541294,0.121926913502492,1296,-0.100166853253753,0.544171612336341
"191","betap1.5 - betap2","0.25","0.5","2.1",0.387587568925383,0.121926913502492,1296,0.0654183361303354,0.709756801720431
"192","betap1.75 - betap2","0.25","0.5","2.1",0.165585189384089,0.121926913502492,1296,-0.156584043410958,0.487754422179137
