"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"131","vaxrate0.25 - vaxrate0.75","0","2","1.75",2.40240008929947,0.121926913502492,1296,2.08023085650442,2.72456932209452
"132","vaxrate0.5 - vaxrate0.75","0","2","1.75",1.10721583610878,0.121926913502492,1296,0.785046603313732,1.42938506890383
"133","vaxrate0 - vaxrate0.25","0.25","2","1.75",0.717382974026494,0.121926913502492,1296,0.395213741231447,1.03955220682154
"134","vaxrate0 - vaxrate0.5","0.25","2","1.75",1.29477460857245,0.121926913502492,1296,0.972605375777405,1.6169438413675
"135","vaxrate0 - vaxrate0.75","0.25","2","1.75",2.16802910883696,0.121926913502492,1296,1.84585987604192,2.49019834163201
"136","vaxrate0.25 - vaxrate0.5","0.25","2","1.75",0.577391634545959,0.121926913502492,1296,0.255222401750911,0.899560867341007
"137","vaxrate0.25 - vaxrate0.75","0.25","2","1.75",1.45064613481047,0.121926913502492,1296,1.12847690201542,1.77281536760552
"138","vaxrate0.5 - vaxrate0.75","0.25","2","1.75",0.873254500264512,0.121926913502492,1296,0.551085267469464,1.19542373305956
"139","vaxrate0 - vaxrate0.25","0.5","2","1.75",0.452840460562565,0.121926913502492,1296,0.130671227767517,0.775009693357612
"140","vaxrate0 - vaxrate0.5","0.5","2","1.75",0.898539796910093,0.121926913502492,1296,0.576370564115045,1.22070902970514
"141","vaxrate0 - vaxrate0.75","0.5","2","1.75",1.49673423683219,0.121926913502492,1296,1.17456500403714,1.81890346962723
"142","vaxrate0.25 - vaxrate0.5","0.5","2","1.75",0.445699336347528,0.121926913502492,1296,0.123530103552481,0.767868569142576
"143","vaxrate0.25 - vaxrate0.75","0.5","2","1.75",1.04389377626962,0.121926913502492,1296,0.721724543474574,1.36606300906467
"144","vaxrate0.5 - vaxrate0.75","0.5","2","1.75",0.598194439922095,0.121926913502492,1296,0.276025207127047,0.920363672717142
"145","vaxrate0 - vaxrate0.25","0","1.25","2.1",1.53260504490415,0.121926913502491,1296,1.21043581210911,1.8547742776992
"146","vaxrate0 - vaxrate0.5","0","1.25","2.1",4.19615212004088,0.121926913502491,1296,3.87398288724584,4.51832135283593
"147","vaxrate0 - vaxrate0.75","0","1.25","2.1",6.21430005303302,0.121926913502491,1296,5.89213082023798,6.53646928582807
"148","vaxrate0.25 - vaxrate0.5","0","1.25","2.1",2.66354707513673,0.121926913502491,1296,2.34137784234168,2.98571630793178
"149","vaxrate0.25 - vaxrate0.75","0","1.25","2.1",4.68169500812887,0.121926913502491,1296,4.35952577533382,5.00386424092392
"150","vaxrate0.5 - vaxrate0.75","0","1.25","2.1",2.01814793299214,0.121926913502492,1296,1.69597870019709,2.34031716578719
"151","vaxrate0 - vaxrate0.25","0.25","1.25","2.1",0.940172009068934,0.121926913502492,1296,0.618002776273887,1.26234124186398
"152","vaxrate0 - vaxrate0.5","0.25","1.25","2.1",1.90922648163618,0.121926913502492,1296,1.58705724884114,2.23139571443123
