"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"215","nation","England","E92000001","2021-06-13","VOC-22JAN-01 (Omicron BA.2)",0,0
"216","nation","England","E92000001","2021-06-13","unclassified_variant",0,0
"217","nation","England","E92000001","2021-06-20","Other",437787,0.16
"218","nation","England","E92000001","2021-06-20","V-20DEC-01 (Alpha)",437787,0.97
"219","nation","England","E92000001","2021-06-20","V-21APR-02 (Delta B.1.617.2)",437787,98.74
"220","nation","England","E92000001","2021-06-20","V-21OCT-01 (Delta AY 4.2)",437787,0.13
"221","nation","England","E92000001","2021-06-20","V-22DEC-01 (Omicron CH.1.1)",0,0
"222","nation","England","E92000001","2021-06-20","V-22JUL-01 (Omicron BA.2.75)",0,0
"223","nation","England","E92000001","2021-06-20","V-22OCT-01 (Omicron BQ.1)",0,0
"224","nation","England","E92000001","2021-06-20","VOC-21NOV-01 (Omicron BA.1)",0,0
"225","nation","England","E92000001","2021-06-20","VOC-22APR-03 (Omicron BA.4)",0,0
"226","nation","England","E92000001","2021-06-20","VOC-22APR-04 (Omicron BA.5)",0,0
"227","nation","England","E92000001","2021-06-20","VOC-22JAN-01 (Omicron BA.2)",0,0
"228","nation","England","E92000001","2021-06-20","unclassified_variant",0,0
"229","nation","England","E92000001","2021-06-27","Other",461463,0.13
"230","nation","England","E92000001","2021-06-27","V-20DEC-01 (Alpha)",461463,0.58
"231","nation","England","E92000001","2021-06-27","V-21APR-02 (Delta B.1.617.2)",461463,99.02
"232","nation","England","E92000001","2021-06-27","V-21OCT-01 (Delta AY 4.2)",461463,0.27
"233","nation","England","E92000001","2021-06-27","V-22DEC-01 (Omicron CH.1.1)",0,0
"234","nation","England","E92000001","2021-06-27","V-22JUL-01 (Omicron BA.2.75)",0,0
"235","nation","England","E92000001","2021-06-27","V-22OCT-01 (Omicron BQ.1)",0,0
"236","nation","England","E92000001","2021-06-27","VOC-21NOV-01 (Omicron BA.1)",0,0
"237","nation","England","E92000001","2021-06-27","VOC-22APR-03 (Omicron BA.4)",0,0
"238","nation","England","E92000001","2021-06-27","VOC-22APR-04 (Omicron BA.5)",0,0
"239","nation","England","E92000001","2021-06-27","VOC-22JAN-01 (Omicron BA.2)",0,0
"240","nation","England","E92000001","2021-06-27","unclassified_variant",0,0
"241","nation","England","E92000001","2021-07-04","Other",484036,0.14
"242","nation","England","E92000001","2021-07-04","V-20DEC-01 (Alpha)",484036,0.23
"243","nation","England","E92000001","2021-07-04","V-21APR-02 (Delta B.1.617.2)",484036,99.14
"244","nation","England","E92000001","2021-07-04","V-21OCT-01 (Delta AY 4.2)",484036,0.49
